Application_ID,Issue_Number,Category,Title,Issue
11,Issue 11,Images,AI cameras systems for fishing by-catch compliance,"Using AI-enabled camera systems for assessing fisheries bycatch compliance.

Commercial fisheries cause bycatch of seabird species that is driving some species of albatrosses and large petrels towards extinction. A range of highly effective mitigation measures have been developed, and Regional Fisheries Management Organisations require implementation of such measures. However, detecting compliance relies on boat-based observers, which is resource intensive. AI-enabled on-board camera systems could record seabird presence, interactions with fishing gear (e.g. cable strikes), bycatch (i.e. ensnared birds) and use of mitigation measures (compliance), enabling safer, cheaper and more reliable monitoring of compliance."
12,Issue 12,Remote Sensing,Models to predict biodiversity loss or restoration using Earth Observation Foundation Models,"Geospatial biodiversity and ecosystem condition products such as the Biodiversity Intactness Index typically use EO-derived land cover or land use as a key model input, which means they essentially discard most data on the spatial and temporal characteristics of vegetation visible in satellite imagery. With the economies of scale of EOFM, we expect to see an abundance of new models that are able to estimate biodiversity loss or restoration directly from imagery, especially where we have extant training datasets such as PREDICTS, LPI, and others."
13,Issue 13,Remote Sensing,Foundation models for remote sensing,"Remote sensing data are widely used to map and monitor ecosystems, providing essential information for conservation decision making.  Building foundation models from remote sensing data will open up many new possibilities, because foundation models leverage large amounts of unlabelled data through self-supervised learning techniques. Key advantages include fusing multiple data modalities such as optical and radar imagery;  fine-tuning foundation models on smaller labelled datasets for various downstream tasks; global coverage that improve generalization across different geographic regions; enabling much smarter analyses of time-series dataset that are needed to track change.  In addition, remote sensing data often requires considerable “cleaning” before use,  e.g. because clouds obscure parts of the image or light conditions vary.  AI techniques could significantly enhance radiative transfer modelling in remote sensing enabling better generalisation for accurate canopy property retrievals."
14,Issue 14,Negative Consequences,The unintended consequences of AI in conservation,"Unintended consequences: It will become harder and harder to justify field time for early career researchers as projects capitalizing on the power of AI will be more productive. ECRs will put their time into learning AI skills rather than engaging with the messy reality of field work meaning fewer and fewer people in the field. This could have a range of consequences e.g.: 1) Careers in conservation science become less attractive (and less realistic-selection will be on AI skills not field skills) for certain types of people-we end up selecting into conservation only those attracted by this sort of work meaning insights which come from ‘field people’ are lost. 2) Fewer people in the field means fewer new insights which come from field observation.  3) People engage with people (not AI), fewer ecology/conservation researchers doing things in the field e.g. around important sites for biodiversity, may mean fewer opportunities to touch/inspire local people about the value of that habitat/species."
15,Issue 15,Modelling,Predicting agricultural expansion,"To predict hotspots of new agricultural expansion frontiers, so proactive monitoring and protection can be implemented"
16,Issue 16,Modelling,Digital twins for ecosystems,"Digital twins for ecosystems. This suggestion addresses the general problem of predicting outcomes (and long-term success or not) of conservation interventions. While AI methods such as reinforcement learning are being explored there is currently a lack of rigour in their use in biology. A 'digital twin' is a system model which is coupled to, and learns from, actual data generated by the physical system. Digital twins are well understood and used in engineering, and are also starting to be used in earth sciences (e.g. oceanography). The proposal here is to explore and establish digital twins as a tool for ecosystem modelling and prediction. A key opportunity would be the peering of digital twins across multiple domains of expertise (e.g. ocean physics, fish populations, seabird ecology). Digital twins could provide a trusted platform for more rigorous development of AI methods for intervention modelling.
"
17,Issue 17,Modelling,Improving species distribution models and species range estimation,"Species distribution models:  SDMs can be important for conservation decision makers, e.g. assessing the impacts of land use change on biodiversity.  Based on species occurrence records or presence/absence records,  SDMs produce maps of the (relative) probability of occurrences using large datasets obtained from remote sensing and other sources. AI methods like machine learning are well-suited to integrate and process these heterogeneous datasets efficiently, handling missing data, noise, and non-linear relationships between predictors and species occurrence probability; they can automatically learn relevant features directly from raw spatial data and uncover complex patterns and interactions.  However, we are currently limited by the small amount of labelled data available to train models (especially in the case of plant species and non-vertebrate animals!), spatial biases in data collection,  temporal mismatches between field datasets and remote sensing layers  and challenges with assessing accuracy and avoiding overfitting. How can new AI approaches (e.g. physics-inspired AI and xAI) + new citizen science datasets address these problems?

AND

25= Ranked: Issue_ID:80

Deep learning solutions for joint species range estimation. These models jointly model thousands of species together. Current work has shown that joint modelling results in superior performance, when evaluated against ""expert"" range maps, compared to treating species independently. "
18,Issue 18,Modelling,Global ecosystem models to simulate the dynamics of life on Earth,"Global ecosystem models simulate the dynamics of life on Earth, including the interactions between plants, animals, and the environment.  These models are valuable for modelling the impacts of climate change on nature in a human-dominated world (and visa versa).  However they have a serious believability problem:  predictions of Dynamic Global Vegetation Models do not align well with field measurements (e.g. of fluxes of greenhouse gas);  they fail to make reliable predictions of large-scales fires and drought-induced mortality even though large-scale disturbance events have profound effects on ecosystem functioning and biodiversity;  and they rarely include plant-animal interactions (the Madingley model being an exception!).	Many processes in the DGVMs are represented by semi-empirical semi-theoretical equations with parameters that need to be calibrated against observations. AI optimisation techniques could automate this calibration process, finding optimal parameter values that best fit the data across multiple scales.  Physics-inspired AI is another avenue worth pursuing. AI techniques such as reduced-order modelling could potentially find low-dimensional representations that capture the essential dynamics while being much faster to compute."
19,Issue 19,Modelling,Predicting deforestation,"Predict deforestation.  Deep learning can analyse large amounts of satellite imagery and other geospatial data to detect early signs and patterns of deforestation.  This allows the models to predict areas at high risk of future deforestation with high accuracy.  These predictions underpin ex ante estimates of the effectiveness of REDD+ projects and enable planning of conservation actions, particularly in tropical regions undergoing rapid deforestation "
20,Issue 20,Modelling,Prioritisation of restoration efforts,"Using AI to prioritise restoration efforts. We know we need to recover degraded habitats in order to avert extinctions and minimise climate change. AI could help us direct such efforts more efficiently, given habitat loss and degradation to date, and projected climate change, shifts in energy production, food production, human population distributions etc."
21,Issue 21,Data,Monitoring online wildlife trade,"Monitor online wildlife trade. Computer vision (i.e., automatic processing and understanding of images) and natural language processing (i.e., automatic processing of textual content), as well as multimodal machine learning (i.e., automatic processing of multiple sources of information, such as text, images, and audio) can be used to understand where, when, how, why, and what species and wildlife products are being traded on which online platforms. "
22,Issue 22,Data,Detecting and enforcing wildlife crime,Detecting and enforcing wildlife crime is increasingly based on intelligence gathering activities that could benefit from AI.  AI would enable better scouring of electronic resources (like  the internet) to identify individuals buying/selling CITES listed organisms and do so rapidly so that enforcement activity can be effective.  AI can also be harnessed to scan satellite imagery looking for real-time poaching activities to aid in directing enforcement teams.
23,Issue 23,Data,Federated AI to unify the worlds biodiversity databases,"Federated AI learning: given multiple ""data islands"" which cannot be shared (e.g. species observations across IBAT partners and hunting data from TRAFFIC), can we train a distributed model which is a representation of the underlying raw data but still be representative and useful? this would allow the unification of the world's biodiversity databases into models which can be shared without leaking the raw data."
24,Issue 24,Data,Improving models of species distrubutions from diverse data,"Using AI to better understand species' distributions. Currently, our understanding of species' distributions is based on extremely patchy sampling and incomplete knowledge of species' ecology. AI could improve models of species' distributions by integrating data on specimen locations, citizen science observations, images on social media, environmental and ecological data, remote sensing data and other spatial datasets on human impacts."
25,Issue 25,Data,A Global environmental monitoring network integrating diverse data,"Though I cannot see all national governments working together on a global environmental monitoring network that involves integration of a diversity of environmental data from satellites, drones, field stations, etc., and make these data available to all, I can imagine the bottom-up growth of such efforts and their integration facilitated by AI. Something similar to the Adapting Mosaic scenario of the Millennium Ecosystem Assessment. Most of the AI applications to conservation that I visualize involve some sort of central integration of tools and facilities, but there is also the option to look at the problem in a bottom-up way, by imagining an adaptable toolkit driven by AI that would give independence and autonomy to local governments or other local institutions, to collect data using flexible protocols, able to support planning and policy, generating outputs that are interoperable and comparable. Each would have sovereignty over their processes, but would be able to contribute to a global effort with help on AI."
26,Issue 26,Data,Better understanding the location of people in a landscape,"Better understanding the location of people in a landscape: Understanding where people are in a landscape is really important for a number of reasons: 1) as covariates in many analyses (for example human population density may be an important confounder in conservation impact evaluations) 2) to better how many people might be affected by a conservation intervention. While global datasets of human populations are rapidly increasing in quality (e.g. Open Building dataset and World Settlement Footprint), they might not work well in certain areas (e.g. people living in tropical forest) and older data is not available. AI could be very helpful for classifying arial photographs or satellite images to come up with better understanding of the distribution of people in a landscape."
27,Issue 27,Data,Monitoring the movement of invasive and illegally traded species across the global trade network,"AI for monitoring the movement of invasive species and illegally traded species across the global trade network, given the lack of human resources for inspecting containers. Data on when invasives or illegally trafficked wildlife are found at ports of entry could be linked to exporting country, time of year, type of shipment (flowers/timber/cars etc,), exporting company, type of container among other metadata to try and identify which future containers should be highlighted for closer inspection."
28,Issue 28,Data,Predicting and mitigating human-animal conflicts,"Human-animal conflicts which contribute to negative and drastic decision-making based on social fears have been one of the major obstacles for wildlife conservation, especially around mammals. Mammals are often registered as protected species or “natural monuments”, however, even these highest social protections could be removed when the incidents of the conflicts are reported repeatedly in the media.

The number of incidents of human-animal conflicts has increased dramatically over the past years (WWF 2021). This is due to the climate and landuse change causing drastic impacts on their habitats and food provisions. For example, there were 8,839 wild bear sighting in residential areas in Japan between April and October 2023, with 5 death and 180 injuries. This is said to be due to the nation wide acorn crop failure due to the unusally hot summer. Warm winter means that wild bears also did not hibernated long enough to rest. The increase of abondoned agricultural lands due to the population declines, and unharvested fruit trees in villages exasibated the situation. 

AI cameras are already in use in different countries to track mammals, and warn communities when they are in vicinity. In the future, combinations of data on environmental and anthropogenic drivers will happen including: climate predictions, food growth predictions, alternative food existence, patterns of animal migrations, locations of past human-animal conflicts, land use change, existence of buffer zones, existence of registered hunters, abandoned farmlands, sighting of animals by citizens.

AI with combined short and long term data sets will provide not only more accurate predictions with less panic in society, as well as opportunities to take measures as early as possible, including planting different types of trees with nuts to become alternative wild food for animals.

Reference:

Dertien, J. S., Negi, H. et al. (2023) Mitigating human-wildlife conflict and monitoring endangered tigers using a real-time camera-based alert system, BioScience, 73(10): 1-10.

World Economic Forum (2024) AI in conservation: Where we came from – and where we are heading.

WWF (2021) A future for all: The need for human-wildlife coexistence. WWF"
